ID,Project lookup,Content,Category,Tags,Author,Created time,Memos,Codes,Journal Excerpts,Project
recfgALHVY3qlWZgy,recgdpwEI5hF07bUZ,My evolving perception of the project,perceptions,"tag1, tag2, tag3, tag4, tag5",,14/10/2025 14:07,,,,recgdpwEI5hF07bUZ
rec3hl7l4FyPp0SXF,recgdpwEI5hF07bUZ,My day-to-day procedures on the project,procedures,"tag1, tag2, tag3",,14/10/2025 14:08,,,,recgdpwEI5hF07bUZ
recHSe9mWHhzASucP,recgdpwEI5hF07bUZ,My methodological decision points made on the project,decisions,"tag4, tag5",,14/10/2025 14:09,,,,recgdpwEI5hF07bUZ
recaERs6iiB2Qs18f,recgdpwEI5hF07bUZ,My personal introspections,introspections,"tag1, tag3, tag5",,14/10/2025 14:09,,,,recgdpwEI5hF07bUZ
recKzhXWyaTzMKDp3,recgdpwEI5hF07bUZ,Evolving perceptions,perceptions,"tag1, tag2, tag3",,29/10/2025 00:44,,,,recgdpwEI5hF07bUZ
reccJ1KvV64O6vZq1,recgdpwEI5hF07bUZ,Evolving perceptions,perceptions,"tag1, tag2, tag3",,29/10/2025 15:13,,,,recgdpwEI5hF07bUZ
recB84wxsuwpWP3nH,recgdpwEI5hF07bUZ,Evolving perceptions,perceptions,"tag1, tag2, tag3",,29/10/2025 15:15,,,,recgdpwEI5hF07bUZ
recxZS62frIlSWytd,recgdpwEI5hF07bUZ,Evolving perceptions,perceptions,"tag1, tag2, tag3",,29/10/2025 15:16,,,,recgdpwEI5hF07bUZ
rec5XpqLRyE6XCTX4,recgdpwEI5hF07bUZ,Evolving perceptions,perceptions,"tag1, tag2, tag3",,29/10/2025 15:24,,,,recgdpwEI5hF07bUZ
recjaiwsNtYmAub8x,recgdpwEI5hF07bUZ,Evolving perceptions,perceptions,"tag1, tag2, tag3",,29/10/2025 15:25,,,,recgdpwEI5hF07bUZ
recvRl2jFeiBrPS7C,recgdpwEI5hF07bUZ,Evolving perceptions,perceptions,"tag1, tag2, tag3",,30/10/2025 00:22,,,,recgdpwEI5hF07bUZ
recH66fCB6SvDYIje,recgdpwEI5hF07bUZ,Evolving perceptions,perceptions,"tag1, tag2, tag3",,30/10/2025 00:29,,,,recgdpwEI5hF07bUZ